"frequency","CURRENT_concept","NEW_concept","CURRENT_metaOntology","NEW_metaOntology","CURRENT_metaType","NEW_metaType"
"20","president",,"UNKNOWN",,,
"3","plastic",,"unknown",,,
"1","advocacy",,"UNKNOWN",,,
"1","augment",,"task",,,
"1","iyong",,"UNKNOWN",,,
"1","binibigay",,"UNKNOWN",,,
"1","roll",,"UNKNOWN",,,
"1","detrimental",,"UNKNOWN",,,
"3","materials",,"unknown",,,
"2","gloria",,"UNKNOWN",,,
"1","event",,"unknown",,,
"3","movement",,"UNKNOWN",,,
"1","role",,"UNKNOWN",,,
"1","cage",,"unknown",,,
"3","nga",,"UNKNOWN",,,
"3","marie",,"UNKNOWN",,,
"4","fes",,"UNKNOWN",,,
"2","essential",,"UNKNOWN",,,
"1","asset",,"unknown",,,
"1","gasoline",,"unknown",,,
"2","llandelar",,"UNKNOWN",,,
"20","told",,"task",,,
"2","answer",,"unknown",,,
"1","lumalabas",,"unknown",,,
"1","mage",,"UNKNOWN",,,
"1","shorelines",,"unknown",,,
"2","regard",,"unknown",,,
"4","meet",,"unknown",,,
"1","toll",,"unknown",,,
"1","naghahanda",,"UNKNOWN",,,
"2","touch",,"UNKNOWN",,,
"25","authorities",,"unknown",,,
"2","exacerbate",,"UNKNOWN",,,
"3","quality",,"unknown",,,
"1","components",,"unknown",,,
"1","mobilization",,"unknown",,,
"25","disast",,"agent",,,
"515","manila_bay_oil_spill_contingency_plan",,"agent",,,
"8","monsoon",,"UNKNOWN",,,
"1","situational",,"unknown",,,
"2","dissipate",,"task",,,
"1","sanctuary",,"UNKNOWN",,,
"1","john",,"agent",,,
"1","greg",,"UNKNOWN",,,
"1","commerci",,"UNKNOWN",,,
"2","biggest",,"unknown",,,
"1","caretakers",,"unknown",,,
"5","net",,"UNKNOWN",,,
"2","mirola",,"UNKNOWN",,,
"4","relief",,"unknown",,,
"1","inquiry",,"UNKNOWN",,,
"1","guidelines",,"unknown",,,
"1","preventive",,"UNKNOWN",,,
"3","trias",,"UNKNOWN",,,
"1","cavites",,"UNKNOWN",,,
"4","mention",,"UNKNOWN",,,
"6","contaminants",,"UNKNOWN",,,
"5","loyzaga",,"UNKNOWN",,,
"1","kadiwa",,"UNKNOWN",,,
"1","hangin",,"unknown",,,
"4","experts",,"unknown",,,
"1","formally",,"unknown",,,
"12","newslett",,"UNKNOWN",,,
"4","markets",,"UNKNOWN",,,
"1","illegal",,"unknown",,,
"1","drainage",,"UNKNOWN",,,
"2","velayo_jr",,"agent",,,
"1","play_on",,"UNKNOWN",,,
"1","hazard",,"UNKNOWN",,,
"3","suffer",,"task",,,
"1","bilyon",,"unknown",,,
"1","pinasok",,"UNKNOWN",,,
"1","capacity-build",,"UNKNOWN",,,
"1","solar",,"UNKNOWN",,,
"3","journalists",,"UNKNOWN",,,
"1","labor",,"agent",,,
"2","bureaus",,"unknown",,,
"1","analyze",,"task",,,
"1","spill-hit",,"unknown",,,
"1","advocates",,"unknown",,,
"2","expertise",,"unknown",,,
"2","ports",,"unknown",,,
"7","red",,"unknown",,,
"35","days",,"unknown",,,
"2","peoples",,"unknown",,,
"1","philippine_satellite_agency",,"organization",,,
"1","tumulong",,"unknown",,,
"2","advice",,"unknown",,,
"3","of_course",,"UNKNOWN",,,
"2","sampl",,"unknown",,,
"10","zone",,"unknown",,,
"1","ensu",,"UNKNOWN",,,
"2","suspend",,"unknown",,,
"10","resources",,"unknown",,,
"3","ncr",,"UNKNOWN",,,
"3","change",,"UNKNOWN",,,
"2","drop",,"task",,,
"17","consumption",,"unknown",,,
"1","regulations",,"UNKNOWN",,,
"12","lead",,"UNKNOWN",,,
"2","hanggang",,"UNKNOWN",,,
"1","kong",,"UNKNOWN",,,
"3","capital",,"UNKNOWN",,,
"2","expenses",,"UNKNOWN",,,
"2","cabe",,"UNKNOWN",,,
"2","medical",,"UNKNOWN",,,
"2","mussel",,"unknown",,,
"21","personnel",,"UNKNOWN",,,
"1","description",,"unknown",,,
"1","aquaculture",,"unknown",,,
"2","jam",,"UNKNOWN",,,
"1","mag-panic",,"UNKNOWN",,,
"3","tons",,"unknown",,,
"20","salvage",,"unknown",,,
"2","alongside",,"unknown",,,
"3","call_for",,"UNKNOWN",,,
"1","involves",,"task",,,
"3","watch",,"UNKNOWN",,,
"2","yesterday",,"UNKNOWN",,,
"3","canvas",,"UNKNOWN",,,
"1","advises",,"task",,,
"1","label",,"UNKNOWN",,,
"1","sluggish",,"UNKNOWN",,,
"1","criticism",,"unknown",,,
"9","country",,"unknown",,,
"1","mabigat",,"unknown",,,
"1","ilalim",,"UNKNOWN",,,
"46","leak",,"UNKNOWN",,,
"2","leav",,"UNKNOWN",,,
"2","readies",,"UNKNOWN",,,
"51","areas",,"unknown",,,
"1","make",,"UNKNOWN",,,
"1","roll-off",,"UNKNOWN",,,
"3","span",,"unknown",,,
"3","update",,"unknown",,,
"1","cumulative",,"UNKNOWN",,,
"23","justice",,"UNKNOWN",,,
"1","displac",,"UNKNOWN",,,
"1","coasts",,"unknown",,,
"5","identifi",,"agent",,,
"1","scientists",,"UNKNOWN",,,
"1","matanggal",,"unknown",,,
"1","harbor_bulk_terminal_corp",,"organization",,,
"5","dilg",,"UNKNOWN",,,
"2","complaints",,"unknown",,,
"3","business",,"unknown",,,
"4","depots",,"unknown",,,
"2","completely",,"unknown",,,
"17","declar",,"unknown",,,
"1","22-year-old",,"unknown",,,
"1","lament",,"unknown",,,
"120","fuel",,"unknown",,,
"1","graduat",,"UNKNOWN",,,
"1","locus",,"UNKNOWN",,,
"2","seaboards",,"UNKNOWN",,,
"1","maram",,"UNKNOWN",,,
"1","population",,"UNKNOWN",,,
"2","updates",,"unknown",,,
"1","noticeable",,"UNKNOWN",,,
"2","estimates",,"unknown",,,
"1","interventions",,"unknown",,,
"3","manag",,"unknown",,,
"6","quezon",,"UNKNOWN",,,
"1","congressional",,"UNKNOWN",,,
"1","layer",,"UNKNOWN",,,
"1","optimistically",,"UNKNOWN",,,
"1","laboratory",,"UNKNOWN",,,
"1","minimize",,"task",,,
"1","denrs",,"unknown",,,
"1","heavier",,"UNKNOWN",,,
"2","securely",,"UNKNOWN",,,
"5","nbi",,"UNKNOWN",,,
"3","main",,"UNKNOWN",,,
"1","outcomes",,"UNKNOWN",,,
"1","entire",,"unknown",,,
"3","kagaya_ng_sinabi_ni",,"agent",,,
"8","inside",,"UNKNOWN",,,
"1","mahalagang",,"UNKNOWN",,,
"1","venture",,"UNKNOWN",,,
"1","nat",,"UNKNOWN",,,
"13","assessment",,"UNKNOWN",,,
"1","albeit",,"UNKNOWN",,,
"1","mailabas",,"unknown",,,
"1","take_five",,"UNKNOWN",,,
"4","cavite_city",,"location",,,
"2","jobs",,"unknown",,,
"3","lower",,"task",,,
"2","diverse",,"UNKNOWN",,,
"2","liability",,"unknown",,,
"1","washington-bas",,"UNKNOWN",,,
"1","aries",,"UNKNOWN",,,
"1","absorption",,"UNKNOWN",,,
"18","help",,"unknown",,,
"1","interagency",,"UNKNOWN",,,
"1","village",,"unknown",,,
"1","norm",,"UNKNOWN",,,
"1","support—the",,"UNKNOWN",,,
"4","social",,"UNKNOWN",,,
"1","carries",,"UNKNOWN",,,
"39","report",,"UNKNOWN",,,
"1","presbitero",,"UNKNOWN",,,
"10","local_government",,"organization",,,
"2","capability",,"unknown",,,
"1","odor",,"unknown",,,
"2","basta",,"unknown",,,
"6","support",,"unknown",,,
"27","manila_bay",,"location",,,
"1","puerto_galera",,"agent",,,
"1","tumalon",,"UNKNOWN",,,
"23","health",,"agent",,,
"1","tayong",,"unknown",,,
"1","ganun",,"unknown",,,
"4","p350",,"UNKNOWN",,,
"1","p351",,"UNKNOWN",,,
"1","regain",,"unknown",,,
"2","rosa",,"UNKNOWN",,,
"4","arriv",,"UNKNOWN",,,
"2","antique",,"UNKNOWN",,,
"14","rescu",,"UNKNOWN",,,
"2","roro",,"UNKNOWN",,,
"1","mandate",,"unknown",,,
"12","assistance",,"unknown",,,
"1","pagpapasya",,"unknown",,,
"1","easily",,"unknown",,,
"1","thought",,"task",,,
"1","express",,"unknown",,,
"2","space",,"agent",,,
"2","build",,"UNKNOWN",,,
"3","seepage",,"UNKNOWN",,,
"1","manuel_lukban_jr",,"agent",,,
"1","distance",,"UNKNOWN",,,
"3","tests",,"unknown",,,
"12","philippine",,"UNKNOWN",,,
"1","mangos",,"UNKNOWN",,,
"1","fast-track",,"task",,,
"1","panibagong",,"UNKNOWN",,,
"1","angelina",,"agent",,,
"1","mandato",,"unknown",,,
"1","note",,"UNKNOWN",,,
"26","water",,"UNKNOWN",,,
"5","held",,"task",,,
"19","rappler",,"UNKNOWN",,,
"1","magkakadikit",,"UNKNOWN",,,
"6","officials",,"agent",,,
"3","pollution",,"UNKNOWN",,,
"1","wound_up",,"UNKNOWN",,,
"3","unknown",,"UNKNOWN",,,
"2","seizure",,"UNKNOWN",,,
"1","parehong",,"UNKNOWN",,,
"1","p363",,"UNKNOWN",,,
"1","empti",,"UNKNOWN",,,
"1","offic",,"unknown",,,
"3","square",,"UNKNOWN",,,
"32","smuggl",,"unknown",,,
"3","literally",,"UNKNOWN",,,
"1","initiatives",,"UNKNOWN",,,
"3","sludge",,"unknown",,,
"4","reclamations",,"unknown",,,
"1","mess",,"unknown",,,
"2","chemicals",,"UNKNOWN",,,
"2","post-harvest",,"UNKNOWN",,,
"1","rare",,"UNKNOWN",,,
"1","uneatable",,"task",,,
"4","isda",,"unknown",,,
"5","action",,"UNKNOWN",,,
"2","petrochemicals",,"unknown",,,
"1","landfall",,"UNKNOWN",,,
"1","ibang",,"unknown",,,
"9","hindi",,"UNKNOWN",,,
"4","hire",,"UNKNOWN",,,
"2","officer-in-charge",,"UNKNOWN",,,
"4","joint",,"unknown",,,
"4","joins",,"task",,,
"2","liter",,"UNKNOWN",,,
"2","clothes",,"unknown",,,
"18","contract",,"unknown",,,
"1","easier",,"unknown",,,
"1","nakaraang",,"UNKNOWN",,,
"2","consumers",,"UNKNOWN",,,
"1","jefferson",,"UNKNOWN",,,
"30","damage",,"UNKNOWN",,,
"1","castro",,"UNKNOWN",,,
"1","youngbean",,"UNKNOWN",,,
"2","mula",,"unknown",,,
"1","kinabukasan",,"unknown",,,
"1","struggle_with",,"UNKNOWN",,,
"1","appli",,"UNKNOWN",,,
"3","ingestion",,"unknown",,,
"1","take_it",,"UNKNOWN",,,
"1","restore",,"UNKNOWN",,,
"1","reynaldo",,"UNKNOWN",,,
"2","nakita",,"unknown",,,
"1","mere",,"unknown",,,
"1","permits",,"UNKNOWN",,,
"2","util",,"UNKNOWN",,,
"10","tanks",,"unknown",,,
"1","chairman",,"UNKNOWN",,,
"2","coral",,"unknown",,,
"1","pandoras",,"UNKNOWN",,,
"3","pesos",,"unknown",,,
"1","security",,"unknown",,,
"4","northeast",,"UNKNOWN",,,
"3","terranovas",,"UNKNOWN",,,
"6","super",,"unknown",,,
"1","distribute",,"UNKNOWN",,,
"4","langis",,"UNKNOWN",,,
"6","rate",,"UNKNOWN",,,
"1","coming_out",,"UNKNOWN",,,
"1","allows",,"UNKNOWN",,,
"6","tolentino",,"UNKNOWN",,,
"1","anticipatory",,"unknown",,,
"1","frances",,"UNKNOWN",,,
"7","shoreline",,"unknown",,,
"2","develop",,"task",,,
"2","pwedeng",,"unknown",,,
"6","major",,"UNKNOWN",,,
"6","dito",,"unknown",,,
"2","angelo",,"UNKNOWN",,,
"2","makaapekto",,"UNKNOWN",,,
"2","dive",,"unknown",,,
"2","produc",,"UNKNOWN",,,
"3","spokesman",,"UNKNOWN",,,
"1","offer",,"task",,,
"1","instrument",,"unknown",,,
"1","underscor",,"UNKNOWN",,,
"18","daily",,"UNKNOWN",,,
"1","torrential",,"UNKNOWN",,,
"7","rin",,"unknown",,,
"1","muna",,"unknown",,,
"1","joet",,"agent",,,
"4","evade",,"UNKNOWN",,,
"6","biaan",,"UNKNOWN",,,
"3","implementation",,"UNKNOWN",,,
"1","lorie",,"UNKNOWN",,,
"1","convulsions",,"UNKNOWN",,,
"24","spread",,"UNKNOWN",,,
"1","nalaman",,"unknown",,,
"2","appear",,"task",,,
"1","merkado",,"UNKNOWN",,,
"3","maintain",,"task",,,
"7","ito",,"unknown",,,
"1","dini-discount",,"UNKNOWN",,,
"7","flow",,"unknown",,,
"1","production",,"unknown",,,
"2","stretches",,"unknown",,,
"1","temperature",,"UNKNOWN",,,
"1","dino_chua",,"agent",,,
"1","taking_in",,"UNKNOWN",,,
"2","hasten",,"UNKNOWN",,,
"4","bacosa",,"UNKNOWN",,,
"1","basically",,"UNKNOWN",,,
"1","tungkol",,"UNKNOWN",,,
"4","press_conference",,"UNKNOWN",,,
"8","central_luzon_spokesperson",,"agent",,,
"2","drink",,"unknown",,,
"3","comprehensive",,"UNKNOWN",,,
"2","richard",,"UNKNOWN",,,
"10","year",,"UNKNOWN",,,
"1","nandun",,"unknown",,,
"4","signs",,"unknown",,,
"8","charter",,"agent",,,
"1","ibibigay",,"task",,,
"1","oil_spill_response_team",,"organization",,,
"1","nakipag-ugnayan",,"UNKNOWN",,,
"2","teams",,"unknown",,,
"1","observed",,"UNKNOWN",,,
"11","system",,"unknown",,,
"2","commence",,"task",,,
"1","pahahabain",,"unknown",,,
"3","wilfredo_cruz",,"agent",,,
"1","innocence",,"unknown",,,
"3","make_sure",,"UNKNOWN",,,
"1","dangers",,"UNKNOWN",,,
"1","posit",,"unknown",,,
"21","nautical",,"UNKNOWN",,,
"1","endang",,"UNKNOWN",,,
"1","65-percent",,"UNKNOWN",,,
"1","buddy",,"agent",,,
"1","patrol",,"UNKNOWN",,,
"1","iloilo_city",,"location",,,
"4","press",,"unknown",,,
"1","ituloy",,"agent",,,
"1","expensive",,"unknown",,,
"2","run",,"task",,,
"1","intensify",,"unknown",,,
"1","nagpapakampante",,"UNKNOWN",,,
"13","batangas",,"UNKNOWN",,,
"2","lakas",,"unknown",,,
"2","substance",,"UNKNOWN",,,
"1","slower",,"UNKNOWN",,,
"7","life",,"unknown",,,
"1","procedure",,"UNKNOWN",,,
"1","makapagbigay",,"unknown",,,
"1","abdominal",,"UNKNOWN",,,
"1","balingawan",,"UNKNOWN",,,
"1","bacoor",,"UNKNOWN",,,
"1","nag-umpisa",,"UNKNOWN",,,
"2","species",,"UNKNOWN",,,
"1","documents",,"unknown",,,
"1","buyers",,"UNKNOWN",,,
"4","liable",,"UNKNOWN",,,
"1","tidal",,"UNKNOWN",,,
"1","sustenance",,"UNKNOWN",,,
"1","young",,"agent",,,
"5","harbor_bulk_terminal_corporation",,"organization",,,
"1","ganitong",,"UNKNOWN",,,
"1","oppos",,"unknown",,,
"10","remain",,"task",,,
"1","retriev",,"task",,,
"1","decontamin",,"unknown",,,
"1","hakbangin",,"UNKNOWN",,,
"3","subsidies",,"unknown",,,
"2","senate_majority_leader_francis",,"organization",,,
"4","caretak",,"UNKNOWN",,,
"13","shores",,"UNKNOWN",,,
"1","rsj",,"UNKNOWN",,,
"1","—joviland",,"UNKNOWN",,,
"1","derek",,"UNKNOWN",,,
"2","emergency",,"unknown",,,
"1","leone-flag",,"agent",,,
"1","p83",,"task",,,
"1","decades",,"unknown",,,
"42","province",,"unknown",,,
"2","skimmer",,"UNKNOWN",,,
"6","demand",,"unknown",,,
"1","mobilize",,"UNKNOWN",,,
"43","bulacan",,"UNKNOWN",,,
"2","declaration",,"unknown",,,
"1","tupad",,"UNKNOWN",,,
"8","so_far",,"UNKNOWN",,,
"5","mouth",,"UNKNOWN",,,
"1","manageable",,"UNKNOWN",,,
"2","complacent",,"unknown",,,
"6","agriculture",,"UNKNOWN",,,
"2","p78",,"unknown",,,
"7","countrys",,"unknown",,,
"5","tourism",,"unknown",,,
"1","puwede",,"UNKNOWN",,,
"1","dennis",,"UNKNOWN",,,
"1","collaborate",,"task",,,
"1","extraction",,"UNKNOWN",,,
"3","shares",,"UNKNOWN",,,
"1","p70",,"unknown",,,
"2","devastation",,"UNKNOWN",,,
"1","magbibigay",,"unknown",,,
"12","email",,"UNKNOWN",,,
"1","turn_back",,"UNKNOWN",,,
"1","lamang",,"UNKNOWN",,,
"10","case",,"unknown",,,
"7","subsidiary",,"UNKNOWN",,,
"1","nakain",,"unknown",,,
"1","battles",,"unknown",,,
"8","early",,"agent",,,
"123","manila_bay_ay",,"agent",,,
"1","vari",,"unknown",,,
"1","attempt",,"unknown",,,
"2","legal",,"UNKNOWN",,,
"1","valid",,"UNKNOWN",,,
"13","insure",,"task",,,
"33","due_to",,"UNKNOWN",,,
"7","no-catch",,"unknown",,,
"1","dismissal",,"unknown",,,
"4","regions",,"agent",,,
"1","worsen",,"unknown",,,
"1","lian",,"UNKNOWN",,,
"1","p65",,"unknown",,,
"1","child",,"UNKNOWN",,,
"5","consum",,"UNKNOWN",,,
"1","continuously",,"unknown",,,
"2","pursue",,"task",,,
"26","unknown_group",,"unknown",,,
"1","performance",,"unknown",,,
"1","—giselle",,"UNKNOWN",,,
"1","vast",,"unknown",,,
"2","offload",,"task",,,
"1","isa",,"unknown",,,
"1","capsize",,"task",,,
"1","multipli",,"UNKNOWN",,,
"1","drill",,"unknown",,,
"1","wait-and-see",,"UNKNOWN",,,
"4","question",,"UNKNOWN",,,
"1","accidental",,"unknown",,,
"2","transparent",,"UNKNOWN",,,
"1","successive",,"unknown",,,
"1","cleanups",,"unknown",,,
"1","environmentalist",,"UNKNOWN",,,
"6","onboard",,"UNKNOWN",,,
"2","rdrrmc",,"UNKNOWN",,,
"3","vicente",,"unknown",,,
"3","forecast",,"UNKNOWN",,,
"5","strength",,"unknown",,,
"1","counter",,"task",,,
"2","recount",,"UNKNOWN",,,
"4","community",,"UNKNOWN",,,
"5","cappings",,"unknown",,,
"3","general",,"UNKNOWN",,,
"1","palaisdaan",,"unknown",,,
"3","representative",,"UNKNOWN",,,
"4","alarm",,"task",,,
"1","ipag-alala",,"UNKNOWN",,,
"27","caus",,"unknown",,,
"1","ferry",,"UNKNOWN",,,
"1","siguradong",,"unknown",,,
"2","trajectory",,"unknown",,,
"4","replac",,"task",,,
"1","device",,"UNKNOWN",,,
"8","investig",,"unknown",,,
"1","sail_into",,"UNKNOWN",,,
"1","historical",,"UNKNOWN",,,
"3","reduc",,"UNKNOWN",,,
"3","high",,"UNKNOWN",,,
"1","executives",,"unknown",,,
"2","celis",,"UNKNOWN",,,
"3","salvour",,"UNKNOWN",,,
"2","chua",,"UNKNOWN",,,
"3","surface",,"UNKNOWN",,,
"2","likewise",,"UNKNOWN",,,
"1","hydrograph",,"UNKNOWN",,,
"2","sad",,"unknown",,,
"1","residente",,"UNKNOWN",,,
"1","specially",,"UNKNOWN",,,
"1","p41",,"unknown",,,
"1","draw",,"task",,,
"1","samin",,"unknown",,,
"1","spawn",,"unknown",,,
"2","guards",,"UNKNOWN",,,
"1","drive",,"unknown",,,
"1","national_operation",,"agent",,,
"1","thus_far",,"UNKNOWN",,,
"1","mild",,"UNKNOWN",,,
"3","industry",,"UNKNOWN",,,
"4","sold",,"task",,,
"1","refraccion",,"UNKNOWN",,,
"4","continuous",,"UNKNOWN",,,
"6","troubl",,"UNKNOWN",,,
"4","describ",,"UNKNOWN",,,
"2","paid-up",,"unknown",,,
"2","noaa",,"organization",,,
"1","productive",,"unknown",,,
"2","blanco",,"UNKNOWN",,,
"3","national_bureau",,"organization",,,
"5","packs",,"UNKNOWN",,,
"1","solid",,"UNKNOWN",,,
"1","lifts",,"task",,,
"1","san",,"UNKNOWN",,,
"2","raffy",,"UNKNOWN",,,
"2","covers",,"UNKNOWN",,,
"1","grown",,"task",,,
"25","start",,"UNKNOWN",,,
"1","darat",,"UNKNOWN",,,
"1","kundi",,"UNKNOWN",,,
"9","years",,"unknown",,,
"1","coordinator",,"UNKNOWN",,,
"1","culture",,"unknown",,,
"23","residents",,"UNKNOWN",,,
"3","philippine-flag",,"unknown",,,
"3","gef-undp-pemsea",,"unknown",,,
"1","helena",,"UNKNOWN",,,
"2","operates",,"task",,,
"1","—mariel",,"UNKNOWN",,,
"1","slow_down",,"UNKNOWN",,,
"10","filipino",,"agent",,,
"1","nararanasan",,"UNKNOWN",,,
"2","resum",,"UNKNOWN",,,
"5","consid",,"UNKNOWN",,,
"5","maragondon",,"UNKNOWN",,,
"1","bathe",,"task",,,
"93","limay_vice",,"agent",,,
"1","pleas",,"UNKNOWN",,,
"1","maintains",,"task",,,
"1","mine",,"UNKNOWN",,,
"2","pangalawang",,"UNKNOWN",,,
"1","district",,"UNKNOWN",,,
"1","smother",,"UNKNOWN",,,
"2","end",,"UNKNOWN",,,
"1","abs-cbn",,"UNKNOWN",,,
"1","reposit",,"UNKNOWN",,,
"1","slowly",,"UNKNOWN",,,
"1","30-member",,"UNKNOWN",,,
"2","coordinate",,"task",,,
"1","tumatagas",,"UNKNOWN",,,
"1","confidence",,"UNKNOWN",,,
"1","ship-sourc",,"unknown",,,
"1","remind",,"task",,,
"7","process",,"UNKNOWN",,,
"2","broken",,"task",,,
"1","p17",,"task",,,
"3","chair",,"UNKNOWN",,,
"13","mv_island_sabtang",,"agent",,,
"8","caps",,"unknown",,,
"2","p12",,"unknown",,,
"10","ngayon",,"unknown",,,
"1","capt",,"UNKNOWN",,,
